"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1245998";"02";"5756273";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:13:26.045";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245999";"03";"5756244";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:14:01.755";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245999";"03";"5756273";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:14:01.755";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245999";"03";"5756730";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:14:01.755";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245999";"03";"5756238";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:14:01.755";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246000";"04";"5756286";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:05:01.163";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246000";"04";"5756480";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:05:01.163";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246000";"04";"5757041";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:05:01.163";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246001";"05";"5757041";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:10:34.007";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246001";"05";"5756738";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:10:34.007";"f";"";"36";"CONSOLIDADA";"";"Presencial";
